x_centriod,y_centroid,tl_fid,year,bldg_typ,num_floors,RMV,dpt_100y,dpt_200y,dpt_250y,dpt_500y,dpt_1000y,dpt_2500y,dpt_5000y,dpt_10000y,MF_100y,MF_200y,MF_250y,MF_500y,MF_1000y,MF_2500y,MF_5000y,MF_10000y,v_100y,v_200y,v_250y,v_500y,v_1000y,v_2500y,v_5000y,v_10000y
428660.2488,5093823.159,2353,1908,1,1,145741,0,0,0,0.29991,2.44182,4.65018,5.7834,6.64985,0,0,0,1,4.63366,27.29758,50.291,76.54494,0,0,0,0.28751,1.73355,3.01802,3.60887,4.13371
428675.4837,5093823.215,2354,1916,1,1,260523,0,0,0,0.25803,2.36736,4.46823,5.57682,6.41805,0,0,0,1,4.03398,25.01027,45.03643,69.0401,0,0,0,0.233,1.59188,2.85154,3.47605,3.99328
428690.7184,5093823.272,2355,1900,1,1,196833,0,0,0,0.25803,2.36736,4.46823,5.57682,6.41805,0,0,0,1,4.03398,25.01027,45.03643,69.0401,0,0,0,0.233,1.59188,2.85154,3.47605,3.99328
428705.9531,5093823.328,2356,1910,2,2,263899,0,0,0,0.14289,2.12923,4.12252,5.19107,5.99975,0,0,0,0.81804,3.77999,24.9806,46.06684,68.53688,0,0,0,0.12542,1.4651,2.72294,3.39079,3.83218
428028.8209,5093796.74,2357,1961,2.5,3,2530711,0,0,0,1.60959,3.71084,5.17423,6.32631,7.12145,0,0,0,9.15981,70.65746,148.51521,260.25082,311.32642,0,0,0,2.47314,4.46063,5.58904,6.456,6.93243
429783.9786,5093850.833,2358,0,0,0,68327,0,0,0,0,0,0,0,0.01478,0,0,0,0,0,0,0,-0.1669,0,0,0,0,0,0,0,0.01558
428068.4753,5093796.291,2359,1995,0,1,285824,0,0,0,1.49107,3.68102,5.45714,6.53218,7.45732,0,0,0,9.86716,74.24572,147.97072,259.67789,327.14758,0,0,0,2.63269,4.60423,5.7106,6.56969,6.94324
428083.7497,5093798.296,2360,1995,0,1,284774,0,0,0,1.49107,3.68102,5.45714,6.53218,7.45732,0,0,0,9.86716,74.24572,147.97072,259.67789,327.14758,0,0,0,2.63269,4.60423,5.7106,6.56969,6.94324
428105.075,5093797.903,2361,0,3,1,529921,0,0,0,1.63491,4.12481,6.17679,7.23619,8.23694,0,0,0,9.39133,64.79999,134.73903,212.63467,281.11615,0,0,0,2.47138,4.41915,5.48663,6.27135,6.57913
428123.3538,5093797.567,2362,1906,3,1,244092,0,0,0,1.95926,4.67697,6.74376,7.79377,8.8189,0,0,0,7.59961,54.79974,114.92131,183.68056,229.81178,0,0,0,2.06939,3.99796,4.93299,5.64078,5.90783
428137.0628,5093797.315,2363,1,2,3,1830608,0,0,0,1.95926,4.67697,6.74376,7.79377,8.8189,0,0,0,7.59961,54.79974,114.92131,183.68056,229.81178,0,0,0,2.06939,3.99796,4.93299,5.64078,5.90783
428178.1863,5093796.561,2364,1,0,1,504565,0,0,0,2.00048,4.65855,6.67522,7.80852,8.83343,0,0,0,6.06672,50.8372,106.45553,178.3109,226.62247,0,0,0,1.90367,3.75537,4.77311,5.35704,5.63183
