x_centriod,y_centroid,tl_fid,year,bldg_typ,num_floors,RMV,dpt_100y,dpt_200y,dpt_250y,dpt_500y,dpt_1000y,dpt_2500y,dpt_5000y,dpt_10000y,MF_100y,MF_200y,MF_250y,MF_500y,MF_1000y,MF_2500y,MF_5000y,MF_10000y,v_100y,v_200y,v_250y,v_500y,v_1000y,v_2500y,v_5000y,v_10000y
428486.3181,5093891.244,2274,2007,2.5,4,154455,0.20705,0.23039,0.38731,1.84166,4.0665,6.63309,7.97542,8.90049,0.21781,0.21792,0.32655,1.58814,13.70221,40.84476,72.04756,103.14826,0.0649,0.07233,0.16633,0.74906,1.9672,2.84153,3.46611,3.92322
429128.561,5093905.397,2275,0,0,0,17750,0.03277,0.03221,0.03987,0.36388,2.84614,4.67956,6.75414,8.17863,0.06286,0.06292,0.05826,0.64062,0.90348,17.65593,42.52198,67.02344,0.00618,0.01241,0.01315,0.13512,0.84104,3.01381,3.89728,4.47197
428472.9012,5093890.296,2276,2007,2.5,4,301926,0.20705,0.23039,0.38731,1.84166,4.0665,6.63309,7.97542,8.90049,0.21781,0.21792,0.32655,1.58814,13.70221,40.84476,72.04756,103.14826,0.0649,0.07233,0.16633,0.74906,1.9672,2.84153,3.46611,3.92322
429918.8933,5093910.982,2277,2002,2,2,299872,0,0,0,0,0,0,0,0.08298,0,0,0,0,0,0,0,-0.18245,0,0,0,0,0,0,0,0.05259
428489.4265,5093884.238,2278,2007,2.5,4,162217,0.18194,0.20504,0.32603,1.64801,3.8469,6.39709,7.71332,8.63797,0.20676,0.20691,0.19442,1.22766,13.87032,39.05665,69.1644,101.59277,0.06221,0.07558,0.11478,0.68331,1.96165,2.84278,3.45744,3.89897
428485.8858,5093886.737,2279,2007,2.5,4,146694,0.20705,0.23039,0.38731,1.84166,4.0665,6.63309,7.97542,8.90049,0.21781,0.21792,0.32655,1.58814,13.70221,40.84476,72.04756,103.14826,0.0649,0.07233,0.16633,0.74906,1.9672,2.84153,3.46611,3.92322
429117.0458,5093890.606,2280,1951,1,1,214061,0.03277,0.03221,0.03987,0.36388,2.84614,4.67956,6.75414,8.17863,0.06286,0.06292,0.05826,0.64062,0.90348,17.65593,42.52198,67.02344,0.00618,0.01241,0.01315,0.13512,0.84104,3.01381,3.89728,4.47197
428485.5584,5093885.632,2281,2007,2.5,4,157608,0.20705,0.23039,0.38731,1.84166,4.0665,6.63309,7.97542,8.90049,0.21781,0.21792,0.32655,1.58814,13.70221,40.84476,72.04756,103.14826,0.0649,0.07233,0.16633,0.74906,1.9672,2.84153,3.46611,3.92322
429731.7198,5093899.527,2282,0,0,0,68327,0,0,0,0,0,0,0,0.22274,0,0,0,0,0,0,0,-0.26872,0,0,0,0,0,0,0,0.13071
428474.5141,5093878.22,2283,2007,2.5,4,340734,0.18194,0.20504,0.32603,1.64801,3.8469,6.39709,7.71332,8.63797,0.20676,0.20691,0.19442,1.22766,13.87032,39.05665,69.1644,101.59277,0.06221,0.07558,0.11478,0.68331,1.96165,2.84278,3.45744,3.89897
428470.8418,5093878.263,2284,2007,2.5,4,316008,0.18194,0.20504,0.32603,1.64801,3.8469,6.39709,7.71332,8.63797,0.20676,0.20691,0.19442,1.22766,13.87032,39.05665,69.1644,101.59277,0.06221,0.07558,0.11478,0.68331,1.96165,2.84278,3.45744,3.89897
428556.1247,5093865.227,2285,1969,3,1,259609,0,0,0,0.6836,2.88296,5.35014,6.58412,7.46711,0,0,0,1,7.06478,34.9061,60.76982,93.22401,0,0,0,0.35764,2.01119,3.08291,3.81675,4.30073
428482.3717,5093872.832,2286,2007,2.5,4,340734,0.18194,0.20504,0.32603,1.64801,3.8469,6.39709,7.71332,8.63797,0.20676,0.20691,0.19442,1.22766,13.87032,39.05665,69.1644,101.59277,0.06221,0.07558,0.11478,0.68331,1.96165,2.84278,3.45744,3.89897
428570.9669,5093865.485,2287,1904,2,2,204481,0,0,0,0.56634,2.76563,5.1736,6.38114,7.24854,0,0,0,1,6.27908,32.18878,57.20164,86.77225,0,0,0,0.30957,1.91391,3.04997,3.67418,4.22436
428480.0968,5093877.566,2288,2007,2.5,4,317449,0.18194,0.20504,0.32603,1.64801,3.8469,6.39709,7.71332,8.63797,0.20676,0.20691,0.19442,1.22766,13.87032,39.05665,69.1644,101.59277,0.06221,0.07558,0.11478,0.68331,1.96165,2.84278,3.45744,3.89897
428470.6473,5093877.259,2289,2007,2.5,4,325211,0.18194,0.20504,0.32603,1.64801,3.8469,6.39709,7.71332,8.63797,0.20676,0.20691,0.19442,1.22766,13.87032,39.05665,69.1644,101.59277,0.06221,0.07558,0.11478,0.68331,1.96165,2.84278,3.45744,3.89897
428578.5842,5093865.513,2290,1904,1,1,73715,0,0,0,0.56634,2.76563,5.1736,6.38114,7.24854,0,0,0,1,6.27908,32.18878,57.20164,86.77225,0,0,0,0.30957,1.91391,3.04997,3.67418,4.22436
428592.4481,5093865.564,2291,1920,3,1,292105,0,0,0,0.56634,2.76563,5.1736,6.38114,7.24854,0,0,0,1,6.27908,32.18878,57.20164,86.77225,0,0,0,0.30957,1.91391,3.04997,3.67418,4.22436
428613.0149,5093865.641,2292,1900,1,1,170283,0,0,0,0.40004,2.57564,4.90101,6.08437,6.93495,0,0,0,1,6.01935,29.85678,54.64949,82.65522,0,0,0,0.3,1.81745,3.06614,3.65004,4.14981
428479.8837,5093876.511,2293,2007,2.5,4,294164,0.18194,0.20504,0.32603,1.64801,3.8469,6.39709,7.71332,8.63797,0.20676,0.20691,0.19442,1.22766,13.87032,39.05665,69.1644,101.59277,0.06221,0.07558,0.11478,0.68331,1.96165,2.84278,3.45744,3.89897
428491.6462,5093871.608,2294,2007,2.5,4,317449,0.18194,0.20504,0.32603,1.64801,3.8469,6.39709,7.71332,8.63797,0.20676,0.20691,0.19442,1.22766,13.87032,39.05665,69.1644,101.59277,0.06221,0.07558,0.11478,0.68331,1.96165,2.84278,3.45744,3.89897
428629.6206,5093865.703,2295,1900,1,1,185104,0,0,0,0.40004,2.57564,4.90101,6.08437,6.93495,0,0,0,1,6.01935,29.85678,54.64949,82.65522,0,0,0,0.3,1.81745,3.06614,3.65004,4.14981
428488.5103,5093876.289,2296,2007,2.5,4,292248,0.18194,0.20504,0.32603,1.64801,3.8469,6.39709,7.71332,8.63797,0.20676,0.20691,0.19442,1.22766,13.87032,39.05665,69.1644,101.59277,0.06221,0.07558,0.11478,0.68331,1.96165,2.84278,3.45744,3.89897
428644.8555,5093865.759,2297,1936,1,1,137270,0,0,0,0.29987,2.46614,4.71601,5.85778,6.70775,0,0,0,1,4.87046,27.58826,50.35612,77.218,0,0,0,0.29521,1.74977,3.03471,3.63386,4.1589
428660.0902,5093865.816,2298,1900,1,1,160258,0,0,0,0.29987,2.46614,4.71601,5.85778,6.70775,0,0,0,1,4.87046,27.58826,50.35612,77.218,0,0,0,0.29521,1.74977,3.03471,3.63386,4.1589
428488.3302,5093875.314,2299,2007,2.5,4,301926,0.18194,0.20504,0.32603,1.64801,3.8469,6.39709,7.71332,8.63797,0.20676,0.20691,0.19442,1.22766,13.87032,39.05665,69.1644,101.59277,0.06221,0.07558,0.11478,0.68331,1.96165,2.84278,3.45744,3.89897
428675.3249,5093865.873,2300,1928,1,1,259096,0,0,0,0.26622,2.39204,4.55004,5.66652,6.50042,0,0,0,1,4.04247,25.82679,45.26546,70.28518,0,0,0,0.26801,1.63454,2.87699,3.51789,4.03537
428498.7792,5093870.616,2301,2007,2.5,4,177740,0,0,0,0.84021,3.03943,5.54752,6.82259,7.72248,0,0,0,1,8.70687,38.41348,68.72629,102.76785,0,0,0,0.46165,2.10139,3.10045,3.81846,4.20948
428497.3912,5093875.028,2302,2007,2.5,4,162217,0,0,0,0.84021,3.03943,5.54752,6.82259,7.72248,0,0,0,1,8.70687,38.41348,68.72629,102.76785,0,0,0,0.46165,2.10139,3.10045,3.81846,4.20948
428690.5598,5093865.929,2303,1900,1,1,233796,0,0,0,0.26622,2.39204,4.55004,5.66652,6.50042,0,0,0,1,4.04247,25.82679,45.26546,70.28518,0,0,0,0.26801,1.63454,2.87699,3.51789,4.03537
